iter	Logloss
0	0.6860008329
1	0.6790553818
2	0.6708119593
3	0.6632386567
4	0.6562158629
5	0.6495865311
6	0.6427985099
7	0.6363858438
8	0.6308869203
9	0.6243952365
10	0.6174784292
11	0.6112381713
12	0.6046224883
13	0.5987226034
14	0.5930466654
15	0.5864643693
16	0.5805100582
17	0.5748117432
18	0.5690687578
19	0.5640720669
20	0.5581385677
21	0.5527662965
22	0.5470571196
23	0.5421590122
24	0.5369348483
25	0.5320817823
26	0.5266350462
27	0.5218298302
28	0.5167503744
29	0.5125600088
30	0.5074529505
31	0.5029017169
32	0.4982498028
33	0.4943525849
34	0.4900877456
35	0.4863658613
36	0.4833683076
37	0.4786991098
38	0.4740094937
39	0.469895894
40	0.4663973888
41	0.4627346133
42	0.4594689844
43	0.4551199447
44	0.4511502797
45	0.4478446391
46	0.4434089882
47	0.4399748909
48	0.4374492451
49	0.4334582888
50	0.4301354534
51	0.426953064
52	0.4241517522
53	0.4212307041
54	0.4175492543
55	0.4140611362
56	0.4117585766
57	0.408429472
58	0.4057730664
59	0.4025525587
60	0.4001456936
61	0.3973358606
62	0.3942040348
63	0.3909281125
64	0.3889992267
65	0.3867207323
66	0.3840653548
67	0.3815039089
68	0.3789430686
69	0.3760910262
70	0.3741185814
71	0.3725601614
72	0.369783651
73	0.3671612165
74	0.3650762888
75	0.3628731311
76	0.3610960383
77	0.35928603
78	0.3571944786
79	0.3552092282
80	0.3533107694
81	0.3513238198
82	0.349545743
83	0.3469823096
84	0.3450875847
85	0.342821062
86	0.3416812644
87	0.3394761694
88	0.3377043997
89	0.3360583243
90	0.334986782
91	0.3338314893
92	0.3323745911
93	0.3302624919
94	0.3290318343
95	0.326898277
96	0.3248239988
97	0.3234468796
98	0.3214869523
99	0.3195075506
100	0.3183507919
101	0.3167304806
102	0.3153727436
103	0.3146836167
104	0.3136480817
105	0.3120429796
106	0.3104187233
107	0.3088722529
108	0.307057163
109	0.3056171047
110	0.3042139758
111	0.3025507122
112	0.3008977456
113	0.2993284638
114	0.297813066
115	0.296743827
116	0.2956191384
117	0.2941969035
118	0.293231217
119	0.2920885032
120	0.2909377024
121	0.2895960334
122	0.288591485
123	0.2873837836
124	0.2861065105
125	0.2848477176
126	0.2835744994
127	0.2822242512
128	0.2813791779
129	0.2805697431
130	0.2792089778
131	0.2781754686
132	0.2773349119
133	0.2762031686
134	0.2752814872
135	0.2742249532
136	0.2733853996
137	0.2724891289
138	0.2717524968
139	0.271008926
140	0.2700623446
141	0.2688753805
142	0.2682198723
143	0.2669832796
144	0.2658449199
145	0.2650652651
146	0.2641513978
147	0.262977714
148	0.2623123908
149	0.2614521363
150	0.2603336451
151	0.2593830089
152	0.258328786
153	0.2576555461
154	0.256877447
155	0.2559229488
156	0.2554088806
157	0.254732534
158	0.2540177023
159	0.2533226065
160	0.2524252299
161	0.2517992588
162	0.2507173878
163	0.250041489
164	0.2492817645
165	0.2485125047
166	0.2479640671
167	0.247276962
168	0.246682951
169	0.246208986
170	0.2454735158
171	0.2447518868
172	0.2440857928
173	0.2436652267
174	0.2429492753
175	0.2422059515
176	0.2415030696
177	0.240775841
178	0.2402184739
179	0.2393867479
180	0.238534844
181	0.2377786614
182	0.237411212
183	0.2365637573
184	0.2358139509
185	0.2354407863
186	0.2349575815
187	0.2344066741
188	0.2335651814
189	0.2329301328
190	0.2324578443
191	0.2319952782
192	0.2315679907
193	0.2310200791
194	0.2304038502
195	0.2295834114
196	0.2291012135
197	0.2284976102
198	0.2281465453
199	0.2277384532
200	0.2269909124
201	0.2265527684
202	0.2260665995
203	0.2254823152
204	0.2251194802
205	0.2246179625
206	0.2240390324
207	0.2236339461
208	0.2231869671
209	0.2228179989
210	0.2222804599
211	0.2219963209
212	0.2214408189
213	0.2207707975
214	0.2203969895
215	0.2200140248
216	0.219520722
217	0.218951392
218	0.2184239661
219	0.2180571176
220	0.2175847591
221	0.2170572523
222	0.2166139581
223	0.2161466101
224	0.215792948
225	0.215346179
226	0.2148218308
227	0.2143518923
228	0.2139780109
229	0.2133732647
230	0.2128719392
231	0.2125436706
232	0.2119626542
233	0.2115462653
234	0.2111559756
235	0.2106575777
236	0.2103605389
237	0.2100890615
238	0.2098712717
239	0.2094951302
240	0.2091214331
241	0.208773932
242	0.2084070001
243	0.2081037362
244	0.2077716938
245	0.2074167898
246	0.2070032505
247	0.2065904879
248	0.2062483632
249	0.2060093126
250	0.2055900589
251	0.205354488
252	0.2051904443
253	0.204958999
254	0.2046678768
255	0.2041875874
256	0.2040716841
257	0.2037789714
258	0.2033961591
259	0.2031597734
260	0.2028344287
261	0.202563592
262	0.2021825127
263	0.2019066985
264	0.2017384611
265	0.2015332589
266	0.2013266833
267	0.2009260807
268	0.2006750764
269	0.2002739515
270	0.2000626881
271	0.1997142229
272	0.1994435259
273	0.1992079877
274	0.1989197046
275	0.1984867295
276	0.1981822777
277	0.1978893281
278	0.1976391301
279	0.1973130209
280	0.1970091336
281	0.196738056
282	0.1964977178
283	0.1961932799
284	0.1959070534
285	0.1957304235
286	0.195505613
287	0.1952000404
288	0.1948374172
289	0.1944149645
290	0.1941039746
291	0.193864336
292	0.1936870852
293	0.1934900215
294	0.1931006934
295	0.1928104298
296	0.192582613
297	0.1923835245
298	0.1921958455
299	0.1920619324
300	0.19191231
301	0.1917231206
302	0.1915473379
303	0.1912202777
304	0.1910223141
305	0.1908520155
306	0.1906568864
307	0.1903091713
308	0.1900842867
309	0.1899776651
310	0.189602941
311	0.1893914117
312	0.1890736443
313	0.1888887965
314	0.18860568
315	0.1883855862
316	0.1881664157
317	0.1879222327
318	0.1876972826
319	0.1873429053
320	0.18720101
321	0.1869586373
322	0.1867193199
323	0.1865450344
324	0.18633289
325	0.1860185821
326	0.1857820466
327	0.1855818145
328	0.1853589552
329	0.1850364332
330	0.1848490521
331	0.1846264372
332	0.1844345709
333	0.1842109355
334	0.1839496297
335	0.1837679296
336	0.1835738411
337	0.1832573544
338	0.1828847526
339	0.1824591711
340	0.1821566398
341	0.1819874918
342	0.1817568598
343	0.1816246527
344	0.1814699262
345	0.1812705182
346	0.1811253996
347	0.1809036755
348	0.1807662396
349	0.1804902717
350	0.180380033
351	0.1801461839
352	0.1800158143
353	0.179831484
354	0.1796755463
355	0.1794524889
356	0.1792904998
357	0.1790378983
358	0.1788736542
359	0.178748483
360	0.1785943744
361	0.1784040405
362	0.1782179454
363	0.1780169289
364	0.1777764131
365	0.17747802
366	0.1772986149
367	0.1770494085
368	0.1769144248
369	0.1766474658
370	0.1765583958
371	0.1764435079
372	0.1763004018
373	0.1759996621
374	0.1758032318
375	0.1755871566
376	0.1753494574
377	0.1751617169
378	0.174924265
379	0.1747339317
380	0.1745712979
381	0.1744075461
382	0.1742775233
383	0.1741124693
384	0.1738916446
385	0.1737756201
386	0.1736304895
387	0.1735105939
388	0.173382454
389	0.1732026468
390	0.1730340517
391	0.1728488717
392	0.1727222032
393	0.1726132554
394	0.1723560275
395	0.1721621186
396	0.1719967866
397	0.1718287038
398	0.1717319955
399	0.1716052531
400	0.1714737868
401	0.1712932804
402	0.171082426
403	0.1709801632
404	0.1707768404
405	0.1706209473
406	0.1705050844
407	0.170364985
408	0.1701604813
409	0.1700420567
410	0.1699081576
411	0.1697163875
412	0.1695976456
413	0.169430504
414	0.1692493023
415	0.1691032242
416	0.1689108929
417	0.1687853779
418	0.1686686421
419	0.1685274756
420	0.1683625713
421	0.1680855635
422	0.1679048544
423	0.1677651064
